id,route,direction,mpdirection,milepost_small,milepost_large,geometry
0,5,N,I,153.0,155.0,"LINESTRING (-122.2677629677461 47.44337278, -122.267678228901 47.4437552712436, -122.267321233888 47.4453297006146, -122.267066861623 47.4461770404272, -122.266801692046 47.4469976601026, -122.266505031198 47.4477649926085, -122.26617054558 47.4486033624374, -122.26527877072 47.4507013586688, -122.264993610103 47.4513748920394, -122.264792139058 47.4518720384422, -122.264737235112 47.4520075161114, -122.264493627088 47.4525673677503, -122.264264205064 47.4531219600084, -122.264054803379 47.4536829690963, -122.263889081038 47.4542164336566, -122.263703687522 47.4549047754692, -122.263605405835 47.4553800871639, -122.263525630707 47.4559660123479, -122.263491782069 47.456419570102, -122.263470646967 47.456702783001, -122.263435774138 47.4572981063264, -122.263421987372 47.457628361459, -122.263406793572 47.4578937755431, -122.263381929519 47.458695597862, -122.263356837254 47.4592536962953, -122.263331861851 47.4598488714867, -122.263345814557 47.4602720747499, -122.263389926205 47.4607082594314, -122.263491400746 47.4612309489718, -122.263564872497 47.4614747005557, -122.263759375204 47.4620425082707, -122.263863747606 47.4622734074068, -122.263983476489 47.4625195562999, -122.264199472541 47.4629177105857, -122.264341015265 47.4631218361726, -122.264889477356 47.4638226078431, -122.265124804184 47.4641183102699, -122.265327724014 47.4643723461626, -122.265471892072 47.4645601452464, -122.265632916706 47.4647698967231, -122.265946598101 47.4651983461317, -122.266513369053 47.4659860053307, -122.2665891718714 47.46611278)"
1,5,N,I,155.0,157.0,"LINESTRING (-122.2665891718714 47.46611278, -122.266894492324 47.4666234061245, -122.267221052381 47.4672189594821, -122.267380456997 47.4676032009118, -122.267451418222 47.4677730394322, -122.267568806735 47.4680539955536, -122.267748601427 47.4686191136412, -122.26789770519 47.4691983975694, -122.268201268089 47.470245458531, -122.268583653138 47.4716174158509, -122.26873400499 47.4721729324034, -122.268867106841 47.4726951563547, -122.269044962118 47.4732771657938, -122.269241298512 47.473818564863, -122.269333818901 47.4740480402086, -122.269558472092 47.474566473823, -122.269718873268 47.4749202372381, -122.269940815948 47.475382218626, -122.271009117631 47.477574342745, -122.271310277565 47.4781677151604, -122.2714578642 47.478563863057, -122.271603997166 47.4791203972803, -122.271649122352 47.4794744513284, -122.271680959772 47.4798368907586, -122.271685075769 47.4802602401395, -122.271658350573 47.4806504541996, -122.271569890506 47.4811222587162, -122.271458934789 47.4815137561215, -122.271317919943 47.48189562792, -122.271122704389 47.4823106997392, -122.270936624872 47.4826558411877, -122.270719950526 47.4829985412102, -122.270477717974 47.4833181051936, -122.270030413106 47.483850287169, -122.269868995953 47.4840019865524, -122.26937111309 47.4844545538474, -122.267526800153 47.4859477182921, -122.266314823073 47.4869093477037, -122.266009340954 47.4871334578931, -122.265719357738 47.4873596440522, -122.265444575603 47.4875956818205, -122.265183675253 47.4878441813528, -122.264922544668 47.4881513449674, -122.264744791086 47.4884033483123, -122.264609671512 47.4886494967802, -122.264477529098 47.4889377052335, -122.264388309135 47.489206176967, -122.264334168233 47.4894437334957, -122.264292164544 47.489780610253, -122.264282989839 47.4901033462817, -122.264300434135 47.4903315900976, -122.264354347669 47.4906130444754, -122.264422127648 47.4908640457267, -122.264535613433 47.4911479558074, -122.26468401422 47.4914380591549, -122.264851234827 47.4916976322556, -122.265053818763 47.4919768302408, -122.265300110983 47.4922284856837, -122.265568588501 47.4924753715174, -122.265841706995 47.4927142434969, -122.266177335901 47.4929909606897, -122.269144178613 47.4954229513262, -122.271071005107 47.4970099850483, -122.271735755814 47.49759552)"
2,5,N,I,157.0,159.0,"LINESTRING (-122.271735755814 47.49759552, -122.271903546323 47.4977433155669, -122.272782941007 47.4985431322389, -122.273610133387 47.499351777955, -122.273770943645 47.499523376944, -122.277348710826 47.5029831196919, -122.277729010527 47.5033839181571, -122.278119431402 47.5038049130104, -122.27907118433 47.504853878628, -122.279380636147 47.5052350336182, -122.279622366359 47.505521782872, -122.279827182484 47.5057678554725, -122.281058415278 47.507375482492, -122.281396881175 47.5078173977682, -122.283821149985 47.5110330081537, -122.284398827996 47.5117947086283, -122.285686111572 47.5134875815947, -122.285854316861 47.5137087755206, -122.287247520572 47.5155407856143, -122.28760948968 47.516045689607, -122.287985888143 47.5166212521924, -122.288264677893 47.5171064938023, -122.2891355097266 47.51886156)"
3,5,N,I,159.0,161.0,"LINESTRING (-122.2891355097266 47.51886156, -122.290097293497 47.5207999298662, -122.290292978641 47.521226458176, -122.290551348569 47.5218307077306, -122.290744250734 47.5224057246275, -122.29159410665 47.5251145405798, -122.291873692631 47.5259066410633, -122.292147876595 47.5266853835284, -122.292431313 47.5274438204652, -122.292783053623 47.5283154575633, -122.293122970612 47.5291301496447, -122.29346605218 47.5298910269784, -122.293632808768 47.5302840427272, -122.293737866596 47.5304973641845, -122.293860215365 47.5307714214528, -122.294494441548 47.5320384760486, -122.295098518395 47.5332900666257, -122.295539271674 47.5341502418957, -122.295976790003 47.534853355051, -122.296369494977 47.5353774033169, -122.296793911389 47.535898429448, -122.29720787219 47.5363435104197, -122.297668796325 47.5368291853431, -122.298217173539 47.5373217882158, -122.298783364247 47.5378032775147, -122.299160251077 47.5381140265983, -122.299878869754 47.5387564138432, -122.300780611905 47.5395290835487, -122.301691113818 47.5402955582596, -122.30219702096 47.5407233921396, -122.302896786814 47.5413217961456, -122.303758052151 47.5420794776191, -122.303872561178 47.5421799024544, -122.305093317929 47.5433207807782, -122.307075072278 47.5452040431679, -122.3073619132243 47.54547272)"
4,5,N,I,161.0,163.0,"LINESTRING (-122.3073619132243 47.54547272, -122.307456281833 47.5455611127458, -122.308062538332 47.5460753558469, -122.308559164308 47.5464663351048, -122.30943483391 47.5471010052845, -122.310145593443 47.5475704903, -122.311735010356 47.5485659239879, -122.312053773803 47.5487719211747, -122.31343494709 47.5495918635782, -122.314529257809 47.5502550574326, -122.31490908852 47.5504734738951, -122.315302317036 47.550707765502, -122.315728395926 47.5509766728916, -122.316052333789 47.5512281541859, -122.316376939697 47.5515109380311, -122.316620694781 47.5517571314001, -122.316894972035 47.5520682341334, -122.317111572746 47.5523866097034, -122.317316026687 47.5527060119012, -122.317566008571 47.5531380595205, -122.317649389123 47.5532856558094, -122.317780371842 47.5535175148688, -122.31788877189 47.5536983446145, -122.318694596896 47.5550425684583, -122.319207981175 47.5557881542614, -122.31978234683 47.5566192688329, -122.320245882481 47.5572779377418, -122.320529629021 47.5577165015096, -122.320757177196 47.558129627336, -122.320993241635 47.5586467895635, -122.321163664583 47.5591313731526, -122.321321040211 47.559669926745, -122.321428457788 47.5601991808897, -122.32146260245 47.5605611465631, -122.321482899854 47.5607763056653, -122.321475132295 47.5614216102832, -122.32143984143 47.5618422023375, -122.321372598117 47.5621994482348, -122.321282375585 47.5626108185952, -122.321210066822 47.5630098782566, -122.320689885026 47.5656174858383, -122.320610880083 47.5660386634457, -122.32017775672 47.5686531343717, -122.320076829216 47.5693334944638, -122.320040234046 47.5696484094879, -122.320015408304 47.569862022711, -122.319962870498 47.5704188693818, -122.319930169521 47.5711754791213, -122.31992170549 47.5716859909252, -122.3199200623701 47.57172527)"
5,5,N,I,163.0,165.0,"LINESTRING (-122.3199200623701 47.57172527, -122.319915480565 47.5718347988664, -122.319912006642 47.5720295473305, -122.319884476009 47.5724282726603, -122.319881064379 47.5725373728752, -122.319856773431 47.572791754833, -122.319848386504 47.5729295258703, -122.319766359752 47.5740655129062, -122.319741044768 47.574633800791, -122.319725456349 47.5749012572885, -122.319696695761 47.575211284623, -122.319647642027 47.5758279062531, -122.319615832581 47.5760399292724, -122.319562707494 47.5763940225877, -122.319543434936 47.5765071881307, -122.319484094436 47.5768556109759, -122.319383561915 47.5772570581433, -122.31925973289 47.5777157580618, -122.319089484803 47.5783907070766, -122.319021750958 47.5787345148753, -122.318978101897 47.5792022775362, -122.318969539011 47.5796795743701, -122.318998741919 47.5800991549893, -122.319062118175 47.5805014011645, -122.319156764852 47.5809468430856, -122.31925973407 47.5813451128412, -122.319655144097 47.5828913946222, -122.319752017161 47.5832561550575, -122.319808260247 47.583594665059, -122.31987839717 47.5840438413904, -122.319924875303 47.5843925945421, -122.319968406468 47.5847951503257, -122.319979687646 47.5849310103712, -122.320002124105 47.5852012174693, -122.320079218031 47.5861238059455, -122.320101866799 47.5865236134979, -122.320126002659 47.5869399126526, -122.320167818698 47.5872920881982, -122.320223688023 47.5877650155123, -122.320257560993 47.5880299501053, -122.3203409266 47.5884352413224, -122.320439533349 47.5888503771437, -122.32056479295 47.5893188621533, -122.320688338087 47.5897369663804, -122.3207995603 47.5901682693278, -122.320906794292 47.590607229733, -122.320953121349 47.5909458922032, -122.320984673659 47.5912881481033, -122.320982161651 47.5916510978867, -122.320953679033 47.5919808495966, -122.320936374586 47.5920931174222, -122.320900330103 47.5923180290097, -122.320621060198 47.5935801283264, -122.320585223038 47.5937350781323, -122.320549605622 47.5939322075938, -122.320497650795 47.5941843408453, -122.320393622538 47.5947207175013, -122.320350655503 47.5949422687053, -122.320285903495 47.5953011499889, -122.320263258444 47.5954755884751, -122.32025049784 47.595573885329, -122.320239532021 47.5961259187821, -122.320242595657 47.596215819084, -122.320266507782 47.5966253989391, -122.32035577257 47.5970574801537, -122.320490181912 47.5975022963338, -122.320614238629 47.5977893450936, -122.320756337858 47.5980865589723, -122.320880497112 47.5983127489388, -122.321048560692 47.5985789454349, -122.321246990193 47.5988614664405, -122.321418530152 47.5990839254403, -122.321583328445 47.5992731270473, -122.32187280242 47.5995842279213, -122.322191096017 47.5998850396955, -122.322503053775 47.600145626105, -122.322870440507 47.6004288651102, -122.3235134977671 47.60093775)"
6,5,N,I,165.0,167.0,"LINESTRING (-122.3235134977671 47.60093775, -122.324477858536 47.6017008991844, -122.325387547408 47.6023980647279, -122.325714152936 47.6026626325053, -122.326012403129 47.602937751302, -122.32625856998 47.603181669338, -122.326511813789 47.6034377761931, -122.326809844746 47.6037475659703, -122.327076871536 47.6040568305475, -122.328058789339 47.6051940338743, -122.328769280454 47.6060386471121, -122.329891750368 47.607338208257, -122.330129753761 47.6076361761675, -122.330383105896 47.6080020236699, -122.330515215379 47.6082514742859, -122.330671200258 47.6085472758375, -122.330781904818 47.6088192875504, -122.330839579657 47.6089905988546, -122.330879284819 47.6091085313784, -122.330966464383 47.6094767919777, -122.330995357585 47.609740021392, -122.33100803871 47.609855548008, -122.331018392425 47.6102656367654, -122.330974831926 47.610588905509, -122.330944156759 47.6107312747944, -122.330889109115 47.6109867620935, -122.330748059751 47.6114254731195, -122.330571889047 47.6118788506592, -122.330433374359 47.612260664217, -122.33027500197 47.6126395668038, -122.330115827539 47.6130153996483, -122.330064581591 47.613153400792, -122.329659872751 47.6142126604624, -122.32958382088 47.6144116676835, -122.329419203689 47.6148423957441, -122.329269408321 47.6152001994176, -122.329130660325 47.6155976077133, -122.328866934878 47.6162466824022, -122.328823918595 47.6163878398461, -122.328615500876 47.6170717493454, -122.328494306915 47.6175481558185, -122.328378502316 47.6180842499496, -122.328322911647 47.6184792626265, -122.32825706763 47.6189583757829, -122.328230372026 47.6193913163197, -122.328206282074 47.6197153952076, -122.328208523265 47.6201913969772, -122.328145788106 47.6222631251535, -122.328114571604 47.6234060928316, -122.328135511401 47.6248380140938, -122.328169571793 47.6258311979694, -122.328161179151 47.626429277887, -122.328156794011 47.626741809143, -122.3281253358326 47.62700736)"
7,5,N,I,167.0,169.0,"LINESTRING (-122.3281253358326 47.62700736, -122.328115833276 47.6270875748178, -122.328003036763 47.6274953195056, -122.32796704036 47.6276254437945, -122.32786083246 47.6278651223091, -122.327708928441 47.6281384504601, -122.327636511173 47.6282747514038, -122.327546505566 47.6284531873529, -122.327373231243 47.6287075976715, -122.327089332594 47.6290904459863, -122.327032356672 47.6291506191785, -122.326726154264 47.6294739951186, -122.325681817801 47.6304132771935, -122.325432012975 47.6306676295058, -122.325365390515 47.6307354597483, -122.32529758325 47.6308062375313, -122.325021380603 47.6310946391079, -122.324625229354 47.6314833196217, -122.324387160939 47.6317706220181, -122.324271555986 47.6319321031039, -122.324166777487 47.6320956286513, -122.323990470314 47.6324207490323, -122.323926452893 47.6325582975831, -122.32382407896 47.6327921703235, -122.323723879436 47.6330288246386, -122.323532438661 47.6335114744738, -122.323340069396 47.6339916320986, -122.323157408663 47.6344649140558, -122.323004093824 47.6349242990987, -122.322862435749 47.6354339043376, -122.322764922861 47.6359260163169, -122.322707876427 47.6362931720083, -122.322682229401 47.6365868900722, -122.3226537135 47.6367897115624, -122.322645074752 47.6373437220218, -122.32261367163 47.6386143904112, -122.322584595037 47.6397225881379, -122.322560703362 47.640982485724, -122.322561863323 47.6411315863224, -122.322557274827 47.6421108944509, -122.3225427463 47.6432003874358, -122.322469605303 47.6441212023277, -122.322439239932 47.6455193821701, -122.322437901049 47.6466433855147, -122.32245582606 47.6482695787817, -122.322447829546 47.6496114114247, -122.322425145706 47.6503418076054, -122.322391166801 47.651383994239, -122.3223644027205 47.65315705)"
8,5,N,I,169.0,171.0,"LINESTRING (-122.3223644027205 47.65315705, -122.32235309638 47.6539060677839, -122.322334104187 47.6548048757778, -122.322331467908 47.6557457645692, -122.322327277722 47.6560037859357, -122.322317063052 47.6563703150508, -122.322286283664 47.6567511633876, -122.322180689312 47.6580263146085, -122.322151719805 47.6584287213158, -122.321933873254 47.6613387144914, -122.321919173721 47.6615269719588, -122.321897593891 47.6617200991068, -122.321892237031 47.6618725086087, -122.321880733355 47.6620511968957, -122.321873969995 47.6622655123892, -122.3217520698 47.6643190126519, -122.321752103141 47.6647962078611, -122.321752069329 47.6649590086126, -122.321743705658 47.6654405023966, -122.321738821672 47.6660942413247, -122.321728517771 47.6674683425122, -122.321726584016 47.6677289421, -122.321725664435 47.6678492150226, -122.321712145033 47.6682740897612, -122.321734019229 47.6689728383138, -122.321686639 47.670571217217, -122.321624979748 47.6710133287612, -122.321410996303 47.6720121418283, -122.321260893117 47.6725690468338, -122.321188346584 47.672817709725, -122.321084730203 47.6731882424966, -122.320874297923 47.6738888275405, -122.320748298357 47.6743812623078, -122.320622022114 47.6749022595249, -122.32056261933 47.6752721846886, -122.320443677959 47.6760079779682, -122.320402291682 47.6769047573317, -122.320446274776 47.6779291638679, -122.320460065672 47.6782122226357, -122.320519078743 47.6794233229803, -122.320529550557 47.679568383957, -122.320547683358 47.679900383776, -122.32055015023 47.6803321785508, -122.3205652901526 47.68044759)"
9,5,N,I,171.0,173.0,"LINESTRING (-122.3205652901526 47.68044759, -122.320635496609 47.6809827729789, -122.320681920759 47.6811863375506, -122.320698006589 47.6812568956462, -122.320806267257 47.6815977188667, -122.320895994483 47.6818550063299, -122.320929014672 47.6819383160635, -122.321018752718 47.6821141534833, -122.321179410903 47.6824235300962, -122.321261722743 47.682547949138, -122.321402073217 47.682789054289, -122.321823307168 47.6833420567114, -122.322364717852 47.6838972411915, -122.322895497085 47.6843398689356, -122.323106554942 47.6845182242318, -122.323470925593 47.6848126025906, -122.324254244645 47.6854167126175, -122.324452701352 47.6855695700382, -122.325274234271 47.6862023264397, -122.325543211043 47.6864062354339, -122.325789817819 47.6865929593218, -122.326033427707 47.6867867587092, -122.326394823445 47.6870741418594, -122.32718546296 47.6877146123007, -122.327651195711 47.6881614711939, -122.327994666753 47.6885453656669, -122.328193205885 47.6888039991615, -122.328401213193 47.6891291108081, -122.328532708615 47.6893615995656, -122.328644288692 47.6895761578225, -122.328919014222 47.6902702905393, -122.329036881909 47.6907389668493, -122.329096160229 47.6912408429043, -122.329090810787 47.6921047377133, -122.329085396572 47.6930251622137, -122.329077968035 47.6933334496605, -122.329054564821 47.6944002522127, -122.329043162136 47.6954668689533, -122.329040881023 47.6959131419119, -122.329044212845 47.6961967277245, -122.329067016757 47.6972100903489, -122.329120675201 47.6982472968952, -122.329193289398 47.6996613126411, -122.329266106675 47.7003819384538, -122.329322139833 47.7014880451905, -122.329339149459 47.7017732097401, -122.329377983344 47.7026247066794, -122.32939385808 47.7028135404601, -122.32944223223 47.7034555122783, -122.32950038133 47.704237432432, -122.329544614748 47.704986111358, -122.329633867248 47.7058448998237, -122.329670009764 47.7067515589095, -122.329760455704 47.7081230391692, -122.329775859247 47.7084128767697, -122.329772025149 47.7088477315823, -122.329763317414 47.7090799436971, -122.329713306837 47.7093726747973, -122.329698529678 47.70945809)"
