date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2011-01-01,27.9 F,33.2 F,39.2 F,30.07 IN,No data.,0.00 IN,No data.,No data.,2.42 MPH,5.87 MPH,999.00 MPH
2011-01-02,32.0 F,35.8 F,41.4 F,30.19 IN,No data.,0.00 IN,No data.,No data.,2.53 MPH,9.21 MPH,999.00 MPH
2011-01-03,32.7 F,36.5 F,43.7 F,30.21 IN,No data.,0.00 IN,No data.,No data.,2.88 MPH,6.90 MPH,999.00 MPH
2011-01-04,32.5 F,36.6 F,42.8 F,30.23 IN,No data.,0.00 IN,No data.,No data.,3.68 MPH,5.87 MPH,999.00 MPH
2011-01-05,38.1 F,39.8 F,44.2 F,30.24 IN,No data.,0.00 IN,No data.,No data.,4.72 MPH,8.06 MPH,999.00 MPH
2011-01-06,44.4 F,47.0 F,50.0 F,30.24 IN,No data.,0.00 IN,No data.,No data.,6.10 MPH,12.77 MPH,999.00 MPH
2011-01-07,47.3 F,48.9 F,50.5 F,30.09 IN,No data.,0.00 IN,No data.,No data.,8.52 MPH,14.96 MPH,999.00 MPH
2011-01-08,37.9 F,40.5 F,46.4 F,30.08 IN,No data.,0.00 IN,No data.,No data.,4.83 MPH,6.90 MPH,999.00 MPH
2011-01-09,36.0 F,38.3 F,41.9 F,30.09 IN,No data.,0.00 IN,No data.,No data.,3.57 MPH,6.90 MPH,999.00 MPH
2011-01-10,35.8 F,36.9 F,39.0 F,30.29 IN,No data.,0.00 IN,No data.,No data.,3.34 MPH,8.06 MPH,999.00 MPH
2011-01-11,31.3 F,35.1 F,39.0 F,30.25 IN,No data.,0.00 IN,No data.,No data.,3.68 MPH,6.90 MPH,999.00 MPH
2011-01-12,32.0 F,39.2 F,49.3 F,29.88 IN,No data.,0.00 IN,No data.,No data.,6.90 MPH,13.81 MPH,999.00 MPH
2011-01-13,44.2 F,49.2 F,54.1 F,29.93 IN,No data.,0.00 IN,No data.,No data.,7.13 MPH,14.96 MPH,999.00 MPH
2011-01-14,50.5 F,52.1 F,54.3 F,30.08 IN,No data.,0.00 IN,No data.,No data.,8.52 MPH,18.30 MPH,999.00 MPH
2011-01-15,50.7 F,52.6 F,54.5 F,30.22 IN,No data.,0.00 IN,No data.,No data.,7.94 MPH,16.11 MPH,999.00 MPH
2011-01-16,49.6 F,50.8 F,51.6 F,29.87 IN,No data.,0.00 IN,No data.,No data.,5.98 MPH,8.06 MPH,999.00 MPH
2011-01-17,49.5 F,49.9 F,50.4 F,30.07 IN,No data.,0.00 IN,No data.,No data.,11.16 MPH,23.02 MPH,999.00 MPH
2011-01-18,42.4 F,44.2 F,48.9 F,30.26 IN,No data.,0.00 IN,No data.,No data.,5.87 MPH,13.81 MPH,999.00 MPH
2011-01-19,40.3 F,41.7 F,45.0 F,30.33 IN,No data.,0.00 IN,No data.,No data.,4.03 MPH,6.90 MPH,999.00 MPH
2011-01-20,37.6 F,40.7 F,46.8 F,30.42 IN,No data.,0.00 IN,No data.,No data.,5.64 MPH,10.24 MPH,999.00 MPH
2011-01-21,43.5 F,46.3 F,49.6 F,30.17 IN,No data.,0.00 IN,No data.,No data.,7.13 MPH,12.77 MPH,999.00 MPH
2011-01-22,43.9 F,46.8 F,49.8 F,30.30 IN,No data.,0.00 IN,No data.,No data.,3.45 MPH,5.87 MPH,999.00 MPH
